,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,2104.0,X
1,Total area of the country (excl. coastal water),4100,1967,2104.0,X
2,Total area of the country (excl. coastal water),4100,1972,2104.0,X
3,Total area of the country (excl. coastal water),4100,1977,2104.0,X
4,Total area of the country (excl. coastal water),4100,1982,2104.0,X
5,Total area of the country (excl. coastal water),4100,1987,2104.0,X
6,Total area of the country (excl. coastal water),4100,1992,2104.0,X
7,Total area of the country (excl. coastal water),4100,1997,2104.0,X
8,Total area of the country (excl. coastal water),4100,2002,2104.0,X
9,Total area of the country (excl. coastal water),4100,2007,2104.0,X
10,Total area of the country (excl. coastal water),4100,2012,2104.0,X
11,Total area of the country (excl. coastal water),4100,2017,2104.0,E
12,Total area of the country (excl. coastal water),4100,2018,2104.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,648.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,631.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,671.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,699.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,731.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,777.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,851.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,816.0,X
21,Cultivated area (arable land + permanent crops),4103,1999,881.0,X
22,Cultivated area (arable land + permanent crops),4103,2006,838.0,X
23,Total population,4104,1962,2931.192,X
24,Total population,4104,1967,3387.383,X
25,Total population,4104,1972,3867.309,X
26,Total population,4104,1977,4338.458,X
27,Total population,4104,1982,4737.257,X
28,Total population,4104,1987,5067.537,X
29,Total population,4104,1992,5416.323,X
30,Total population,4104,1997,5746.284,X
31,Total population,4104,2002,5962.136,X
32,Total population,4104,2007,6105.81,X
33,Total population,4104,2012,6237.923,X
34,Total population,4104,2017,6388.126,X
35,Total population,4104,2018,6420.746,X
36,Rural population,4105,1962,1796.897,X
37,Rural population,4105,1967,2059.523,X
38,Rural population,4105,1972,2315.482,X
39,Rural population,4105,1977,2486.915,X
40,Rural population,4105,1982,2593.166,X
41,Rural population,4105,1987,2642.375,X
42,Rural population,4105,1992,2683.16,X
43,Rural population,4105,1997,2489.44,X
44,Rural population,4105,2002,2375.312,X
45,Rural population,4105,2007,2264.614,X
46,Rural population,4105,2012,2041.361,X
47,Rural population,4105,2017,1832.049,X
48,Rural population,4105,2018,1793.751,X
49,Urban population,4106,1962,1130.96,X
50,Urban population,4106,1967,1324.178,X
51,Urban population,4106,1972,1546.449,X
52,Urban population,4106,1977,1843.049,X
53,Urban population,4106,1982,2132.554,X
54,Urban population,4106,1987,2411.339,X
55,Urban population,4106,1992,2717.171,X
56,Urban population,4106,1997,3238.315,X
57,Urban population,4106,2002,3564.991,X
58,Urban population,4106,2007,3818.861,X
59,Urban population,4106,2012,4179.885,X
60,Urban population,4106,2017,4545.804,X
61,Urban population,4106,2018,4617.807,X
62,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.4966,I
63,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.4493333333,I
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.4269,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.4269,I
66,Gross Domestic Product (GDP),4112,1962,706080000.0,X
67,Gross Domestic Product (GDP),4112,1967,976200000.0,X
68,Gross Domestic Product (GDP),4112,1972,380523382.0,X
69,Gross Domestic Product (GDP),4112,1977,946291144.0,X
70,Gross Domestic Product (GDP),4112,1982,1183821180.0,X
71,Gross Domestic Product (GDP),4112,1987,3055409986.0,X
72,Gross Domestic Product (GDP),4112,1992,5813399327.0,X
73,Gross Domestic Product (GDP),4112,1997,10221705880.0,X
74,Gross Domestic Product (GDP),4112,2002,12664190271.0,X
75,Gross Domestic Product (GDP),4112,2007,17011750854.0,X
76,Gross Domestic Product (GDP),4112,2012,21386153018.0,X
77,Gross Domestic Product (GDP),4112,2015,23438237940.0,X
78,GDP per capita,4458,1972,98.531896,X
79,GDP per capita,4458,1977,218.544806,X
80,GDP per capita,4458,1982,250.505993,X
81,GDP per capita,4458,1987,604.58704,X
82,GDP per capita,4458,1992,1076.489446,X
83,GDP per capita,4458,1997,1784.592023,X
84,GDP per capita,4458,2002,2131.909815,X
85,GDP per capita,4458,2007,2796.387074,X
86,GDP per capita,4458,2012,3437.599641,X
87,GDP per capita,4458,2017,3908.521206,X
88,GDP per capita,4458,2018,4064.05821,X
89,"Agriculture, value added (% GDP)",4113,1972,64.792468,X
90,"Agriculture, value added (% GDP)",4113,1977,84.963585,X
91,"Agriculture, value added (% GDP)",4113,1982,59.362049,X
92,"Agriculture, value added (% GDP)",4113,1987,17.729302,X
93,"Agriculture, value added (% GDP)",4113,1992,12.965032,X
94,"Agriculture, value added (% GDP)",4113,1997,10.914557,X
95,"Agriculture, value added (% GDP)",4113,2002,5.822984,X
96,"Agriculture, value added (% GDP)",4113,2007,6.993104,X
97,"Agriculture, value added (% GDP)",4113,2012,6.514348,X
98,"Agriculture, value added (% GDP)",4113,2015,5.529784,X
99,"Agriculture, value added to GDP",4548,1967,375880000.0,X
100,"Agriculture, value added to GDP",4548,1969,380400000.0,X
101,Number of people undernourished (3-year average),4473,1992,900.0,X
102,Number of people undernourished (3-year average),4473,1997,900.0,X
103,Number of people undernourished (3-year average),4473,2002,400.0,X
104,Number of people undernourished (3-year average),4473,2007,600.0,X
105,Number of people undernourished (3-year average),4473,2012,700.0,X
106,Number of people undernourished (3-year average),4473,2017,600.0,X
107,Number of people undernourished (3-year average),4473,2018,600.0,X
108,Prevalence of undernourishment (3-year average),4474,1992,16.2,X
109,Prevalence of undernourishment (3-year average),4474,1997,15.4,X
110,Prevalence of undernourishment (3-year average),4474,2001,11.0,X
111,Total population with access to safe drinking-water (JMP),4114,1992,72.3,X
112,Total population with access to safe drinking-water (JMP),4114,1997,78.6,X
113,Total population with access to safe drinking-water (JMP),4114,2002,83.4,X
