,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,23680.0,X
1,Total area of the country (excl. coastal water),4100,1967,23680.0,X
2,Total area of the country (excl. coastal water),4100,1972,23680.0,X
3,Total area of the country (excl. coastal water),4100,1977,23680.0,X
4,Total area of the country (excl. coastal water),4100,1982,23680.0,X
5,Total area of the country (excl. coastal water),4100,1987,23680.0,X
6,Total area of the country (excl. coastal water),4100,1992,23680.0,X
7,Total area of the country (excl. coastal water),4100,1997,23680.0,X
8,Total area of the country (excl. coastal water),4100,2002,23680.0,X
9,Total area of the country (excl. coastal water),4100,2007,23680.0,X
10,Total area of the country (excl. coastal water),4100,2012,23680.0,X
11,Total area of the country (excl. coastal water),4100,2017,23680.0,E
12,Total area of the country (excl. coastal water),4100,2018,23680.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,650.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,660.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,712.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,790.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,817.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,840.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,864.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,930.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,1096.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,1338.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,1619.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,1769.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,1719.0,X
26,Total population,4104,1962,2221.125,X
27,Total population,4104,1967,2496.92,X
28,Total population,4104,1972,2840.841,X
29,Total population,4104,1977,3135.842,X
30,Total population,4104,1982,3401.191,X
31,Total population,4104,1987,3905.53,X
32,Total population,4104,1992,4500.351,X
33,Total population,4104,1997,5050.315,X
34,Total population,4104,2002,5493.246,X
35,Total population,4104,2007,5944.948,X
36,Total population,4104,2012,6444.53,X
37,Total population,4104,2017,6953.035,X
38,Total population,4104,2018,7061.507,X
39,Rural population,4105,1962,2041.324,X
40,Rural population,4105,1967,2279.883,X
41,Rural population,4105,1972,2548.367,X
42,Rural population,4105,1977,2772.578,X
43,Rural population,4105,1982,2961.472,X
44,Rural population,4105,1987,3341.301,X
45,Rural population,4105,1992,3775.976,X
46,Rural population,4105,1997,4089.728,X
47,Rural population,4105,2002,4175.525,X
48,Rural population,4105,2007,4265.018,X
49,Rural population,4105,2012,4409.554,X
50,Rural population,4105,2017,4501.174,X
51,Rural population,4105,2018,4524.499,X
52,Urban population,4106,1962,179.798,X
53,Urban population,4106,1967,217.037,X
54,Urban population,4106,1972,292.474,X
55,Urban population,4106,1977,363.264,X
56,Urban population,4106,1982,439.77,X
57,Urban population,4106,1987,563.862,X
58,Urban population,4106,1992,726.387,X
59,Urban population,4106,1997,966.791,X
60,Urban population,4106,2002,1321.748,X
61,Urban population,4106,2007,1684.769,X
62,Urban population,4106,2012,2005.615,X
63,Urban population,4106,2017,2356.986,X
64,Urban population,4106,2018,2436.711,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.5896,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.5576,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.5366666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.534,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.534,I
70,Gross Domestic Product (GDP),4112,1972,141799339.0,X
71,Gross Domestic Product (GDP),4112,1977,242114409.0,X
72,Gross Domestic Product (GDP),4112,1982,478220949.0,X
73,Gross Domestic Product (GDP),4112,1987,676701903.0,X
74,Gross Domestic Product (GDP),4112,1992,1228791031.0,X
75,Gross Domestic Product (GDP),4112,1997,1819883136.0,X
76,Gross Domestic Product (GDP),4112,2002,1906867796.0,X
77,Gross Domestic Product (GDP),4112,2007,4570008380.0,X
78,Gross Domestic Product (GDP),4112,2012,10191355070.0,X
79,Gross Domestic Product (GDP),4112,2016,15805692481.0,X
80,GDP per capita,4458,1972,49.914564,X
81,GDP per capita,4458,1977,77.20874,X
82,GDP per capita,4458,1982,140.601859,X
83,GDP per capita,4458,1987,173.283907,X
84,GDP per capita,4458,1992,272.92136,X
85,GDP per capita,4458,1997,359.908296,X
86,GDP per capita,4458,2002,346.875223,X
87,GDP per capita,4458,2007,768.096132,X
88,GDP per capita,4458,2012,1588.633919,X
89,GDP per capita,4458,2017,2457.379901,X
90,GDP per capita,4458,2018,2579.121946,X
91,"Agriculture, value added (% GDP)",4113,1972,41.335386,X
92,"Agriculture, value added (% GDP)",4113,1977,41.317664,X
93,"Agriculture, value added (% GDP)",4113,1982,41.33754,X
94,"Agriculture, value added (% GDP)",4113,1987,41.993465,X
95,"Agriculture, value added (% GDP)",4113,1992,42.885406,X
96,"Agriculture, value added (% GDP)",4113,1997,49.776467,X
97,"Agriculture, value added (% GDP)",4113,2002,30.784993,X
98,"Agriculture, value added (% GDP)",4113,2007,23.829803,X
99,"Agriculture, value added (% GDP)",4113,2012,18.548485,X
100,"Agriculture, value added (% GDP)",4113,2017,16.199682,X
101,"Agriculture, value added (% GDP)",4113,2018,15.709489,X
102,Number of people undernourished (3-year average),4473,1992,1900.0,X
103,Number of people undernourished (3-year average),4473,1997,2100.0,X
104,Number of people undernourished (3-year average),4473,2001,2000.0,X
105,Prevalence of undernourishment (3-year average),4474,1992,42.8,X
106,Prevalence of undernourishment (3-year average),4474,1997,43.0,X
107,Prevalence of undernourishment (3-year average),4474,2001,37.7,X
108,Total population with access to safe drinking-water (JMP),4114,1997,40.5,X
109,Total population with access to safe drinking-water (JMP),4114,2002,50.1,X
110,Total population with access to safe drinking-water (JMP),4114,2007,61.2,X
111,Total population with access to safe drinking-water (JMP),4114,2012,71.5,X
112,Total population with access to safe drinking-water (JMP),4114,2017,75.7,I
113,Total population with access to safe drinking-water (JMP),4114,2018,75.7,I
114,Long-term average annual precipitation in volume,4150,1962,434.2912,E
115,Long-term average annual precipitation in volume,4150,1967,434.2912,E
116,Long-term average annual precipitation in volume,4150,1972,434.2912,E
117,Long-term average annual precipitation in volume,4150,1977,434.2912,E
118,Long-term average annual precipitation in volume,4150,1982,434.2912,E
119,Long-term average annual precipitation in volume,4150,1987,434.2912,E
120,Long-term average annual precipitation in volume,4150,1992,434.2912,E
121,Long-term average annual precipitation in volume,4150,1997,434.2912,E
122,Long-term average annual precipitation in volume,4150,2002,434.2912,E
123,Long-term average annual precipitation in volume,4150,2007,434.2912,E
124,Long-term average annual precipitation in volume,4150,2012,434.2912,E
125,Long-term average annual precipitation in volume,4150,2017,434.2912,E
126,Long-term average annual precipitation in volume,4150,2018,434.2912,E
