,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,51312.0,X
1,Total area of the country (excl. coastal water),4100,1967,51312.0,X
2,Total area of the country (excl. coastal water),4100,1972,51312.0,X
3,Total area of the country (excl. coastal water),4100,1977,51312.0,X
4,Total area of the country (excl. coastal water),4100,1982,51312.0,X
5,Total area of the country (excl. coastal water),4100,1987,51312.0,X
6,Total area of the country (excl. coastal water),4100,1992,51312.0,X
7,Total area of the country (excl. coastal water),4100,1997,51312.0,X
8,Total area of the country (excl. coastal water),4100,2002,51312.0,X
9,Total area of the country (excl. coastal water),4100,2007,51312.0,X
10,Total area of the country (excl. coastal water),4100,2012,51312.0,X
11,Total area of the country (excl. coastal water),4100,2017,51312.0,E
12,Total area of the country (excl. coastal water),4100,2018,51312.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,11700.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,13080.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,14750.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,17385.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,19099.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,20490.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,20574.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,19642.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,18889.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,19000.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,21060.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,21310.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,21310.0,X
26,Total population,4104,1962,29080.938,X
27,Total population,4104,1967,33778.799,X
28,Total population,4104,1972,39058.603,X
29,Total population,4104,1977,44405.904,X
30,Total population,4104,1982,49255.9,X
31,Total population,4104,1987,53945.881,X
32,Total population,4104,1992,57811.021,X
33,Total population,4104,1997,60846.582,X
34,Total population,4104,2002,64069.087,X
35,Total population,4104,2007,66182.067,X
36,Total population,4104,2012,67835.962,X
37,Total population,4104,2017,69209.81,X
38,Total population,4104,2018,69428.453,X
39,Rural population,4105,1962,23296.727,X
40,Rural population,4105,1967,26872.937,X
41,Rural population,4105,1972,30465.998,X
42,Rural population,4105,1977,33321.107,X
43,Rural population,4105,1982,35813.575,X
44,Rural population,4105,1987,38515.494,X
45,Rural population,4105,1992,40623.399,X
46,Rural population,4105,1997,42226.167,X
47,Rural population,4105,2002,42458.762,X
48,Rural population,4105,2007,39750.794,X
49,Rural population,4105,2012,37012.171,X
50,Rural population,4105,2017,35071.057,X
51,Rural population,4105,2018,34627.095,X
52,Urban population,4106,1962,5784.307,X
53,Urban population,4106,1967,6905.567,X
54,Urban population,4106,1972,8595.996,X
55,Urban population,4106,1977,11094.903,X
56,Urban population,4106,1982,13453.985,X
57,Urban population,4106,1987,15448.912,X
58,Urban population,4106,1992,17214.479,X
59,Urban population,4106,1997,18637.339,X
60,Urban population,4106,2002,21614.402,X
61,Urban population,4106,2007,26444.821,X
62,Urban population,4106,2012,30831.808,X
63,Urban population,4106,2017,33966.456,X
64,Urban population,4106,2018,34556.078,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.4368,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.3946,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.369,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.3796,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.3796,I
70,Gross Domestic Product (GDP),4112,1962,3308912930.0,X
71,Gross Domestic Product (GDP),4112,1967,5638461437.0,X
72,Gross Domestic Product (GDP),4112,1972,8524733046.0,X
73,Gross Domestic Product (GDP),4112,1977,20622632284.0,X
74,Gross Domestic Product (GDP),4112,1982,37918315860.0,X
75,Gross Domestic Product (GDP),4112,1987,52370346053.0,X
76,Gross Domestic Product (GDP),4112,1992,115577276804.0,X
77,Gross Domestic Product (GDP),4112,1997,150180454390.0,X
78,Gross Domestic Product (GDP),4112,2002,134300903358.0,X
79,Gross Domestic Product (GDP),4112,2007,262942682506.0,X
80,Gross Domestic Product (GDP),4112,2012,397558393886.0,X
81,Gross Domestic Product (GDP),4112,2017,455275339459.0,X
82,Gross Domestic Product (GDP),4112,2018,504992355352.0,X
83,GDP per capita,4458,1972,218.235993,X
84,GDP per capita,4458,1977,464.306278,X
85,GDP per capita,4458,1982,769.640629,X
86,GDP per capita,4458,1987,970.460901,X
87,GDP per capita,4458,1992,1998.297323,X
88,GDP per capita,4458,1997,2467.495947,X
89,GDP per capita,4458,2002,2096.055431,X
90,GDP per capita,4458,2007,3972.206958,X
91,GDP per capita,4458,2012,5859.89206,X
92,GDP per capita,4458,2017,6594.608057,X
93,GDP per capita,4458,2018,7299.352335,X
94,"Agriculture, value added (% GDP)",4113,1962,34.0,X
95,"Agriculture, value added (% GDP)",4113,1967,29.24,X
96,"Agriculture, value added (% GDP)",4113,1972,25.359251,X
97,"Agriculture, value added (% GDP)",4113,1977,24.773932,X
98,"Agriculture, value added (% GDP)",4113,1982,18.548449,X
99,"Agriculture, value added (% GDP)",4113,1987,15.733438,X
