,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1992,20760.0,X
1,Total area of the country (excl. coastal water),4100,1997,20760.0,X
2,Total area of the country (excl. coastal water),4100,2002,20760.0,X
3,Total area of the country (excl. coastal water),4100,2007,20760.0,X
4,Total area of the country (excl. coastal water),4100,2012,20760.0,X
5,Total area of the country (excl. coastal water),4100,2017,20760.0,E
6,Total area of the country (excl. coastal water),4100,2018,20760.0,E
7,Cultivated area (arable land + permanent crops),4103,1992,6261.0,X
8,Cultivated area (arable land + permanent crops),4103,1997,6319.0,X
9,Cultivated area (arable land + permanent crops),4103,2002,5738.0,X
10,Cultivated area (arable land + permanent crops),4103,2007,5640.0,X
11,Cultivated area (arable land + permanent crops),4103,2012,5642.0,X
12,Cultivated area (arable land + permanent crops),4103,2017,5841.0,X
13,Cultivated area (arable land + permanent crops),4103,2018,5823.0,X
14,Total population,4104,1992,10154.334,X
15,Total population,4104,1997,10009.394,X
16,Total population,4104,2002,9745.923,X
17,Total population,4104,2007,9480.515,X
18,Total population,4104,2012,9417.046,X
19,Total population,4104,2017,9450.231,X
20,Total population,4104,2018,9452.617,X
21,Rural population,4105,1992,3396.465,X
22,Rural population,4105,1997,3154.192,X
23,Rural population,4105,2002,2850.055,X
24,Rural population,4105,2007,2548.939,X
25,Rural population,4105,2012,2301.873,X
26,Rural population,4105,2017,2070.383,X
27,Rural population,4105,2018,2023.242,X
28,Urban population,4106,1992,6823.453,X
29,Urban population,4106,1997,6918.869,X
30,Urban population,4106,2002,6957.077,X
31,Urban population,4106,2007,6987.925,X
32,Urban population,4106,2012,7169.857,X
33,Urban population,4106,2017,7397.955,X
34,Urban population,4106,2018,7428.871,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.1507,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.1507,I
37,Gross Domestic Product (GDP),4112,1992,18353681998.0,X
38,Gross Domestic Product (GDP),4112,1997,14574579172.0,X
39,Gross Domestic Product (GDP),4112,2002,15088618674.0,X
40,Gross Domestic Product (GDP),4112,2007,46807243743.0,X
41,Gross Domestic Product (GDP),4112,2012,65685908728.0,X
42,Gross Domestic Product (GDP),4112,2017,54725418814.0,X
43,GDP per capita,4458,1992,1795.873704,X
44,GDP per capita,4458,1997,1446.886817,X
45,GDP per capita,4458,2002,1538.53529,X
46,GDP per capita,4458,2007,4908.033054,X
47,GDP per capita,4458,2012,6934.943113,X
48,GDP per capita,4458,2017,5779.833675,X
49,GDP per capita,4458,2018,6312.054621,X
50,"Agriculture, value added (% GDP)",4113,1992,21.793262,X
51,"Agriculture, value added (% GDP)",4113,1997,13.031365,X
52,"Agriculture, value added (% GDP)",4113,2002,9.766921,X
53,"Agriculture, value added (% GDP)",4113,2007,8.06409,X
54,"Agriculture, value added (% GDP)",4113,2012,8.130952,X
55,"Agriculture, value added (% GDP)",4113,2017,7.565833,X
56,Number of people undernourished (3-year average),4473,2002,300.0,X
57,Number of people undernourished (3-year average),4473,2007,300.0,I
58,Number of people undernourished (3-year average),4473,2012,300.0,I
59,Number of people undernourished (3-year average),4473,2017,300.0,I
60,Number of people undernourished (3-year average),4473,2018,300.0,I
61,Prevalence of undernourishment (3-year average),4474,2002,2.6,X
62,Prevalence of undernourishment (3-year average),4474,2007,3.0,I
63,Prevalence of undernourishment (3-year average),4474,2012,3.0,I
64,Prevalence of undernourishment (3-year average),4474,2017,3.0,I
65,Prevalence of undernourishment (3-year average),4474,2018,3.0,I
66,Total population with access to safe drinking-water (JMP),4114,1992,99.5,X
67,Total population with access to safe drinking-water (JMP),4114,1997,99.5,X
68,Total population with access to safe drinking-water (JMP),4114,2002,99.5,X
69,Total population with access to safe drinking-water (JMP),4114,2007,99.6,X
70,Total population with access to safe drinking-water (JMP),4114,2012,99.7,X
71,Total population with access to safe drinking-water (JMP),4114,2017,99.7,I
72,Total population with access to safe drinking-water (JMP),4114,2018,99.7,I
73,Long-term average annual precipitation in volume,4150,1992,128.2968,E
74,Long-term average annual precipitation in volume,4150,1997,128.2968,E
75,Long-term average annual precipitation in volume,4150,2002,128.2968,E
76,Long-term average annual precipitation in volume,4150,2007,128.2968,E
77,Long-term average annual precipitation in volume,4150,2012,128.2968,E
78,Long-term average annual precipitation in volume,4150,2017,128.2968,E
79,Long-term average annual precipitation in volume,4150,2018,128.2968,E
80,Interannual variability (WRI),4541,2017,1.1,I
81,Interannual variability (WRI),4541,2018,1.1,I
82,Seasonal variability (WRI),4542,2017,0.9,I
83,Seasonal variability (WRI),4542,2018,0.9,I
84,Flood occurrence (WRI),4543,2017,2.6,I
85,Flood occurrence (WRI),4543,2018,2.6,I
86,Surface water: entering the country (total),4159,1992,23.9,
87,Surface water: entering the country (total),4159,1997,23.9,
88,Surface water: entering the country (total),4159,2002,23.9,
89,Surface water: entering the country (total),4159,2007,23.9,
90,Surface water: entering the country (total),4159,2012,23.9,
91,Surface water: entering the country (total),4159,2017,23.9,
92,Surface water: leaving the country to other countries (total),4171,1992,57.9,
93,Surface water: leaving the country to other countries (total),4171,1997,57.9,
94,Surface water: leaving the country to other countries (total),4171,2002,57.9,
95,Surface water: leaving the country to other countries (total),4171,2007,57.9,
96,Surface water: leaving the country to other countries (total),4171,2012,57.9,
97,Surface water: leaving the country to other countries (total),4171,2017,57.9,
98,Groundwater: entering the country (total),4177,1992,0.0,E
99,Groundwater: entering the country (total),4177,1997,0.0,E
100,Groundwater: entering the country (total),4177,2002,0.0,E
101,Groundwater: entering the country (total),4177,2007,0.0,E
102,Groundwater: entering the country (total),4177,2012,0.0,E
103,Groundwater: entering the country (total),4177,2017,0.0,E
104,Dependency ratio,4192,1992,41.2780656304,E
105,Dependency ratio,4192,1997,41.2780656304,E
106,Dependency ratio,4192,2002,41.2780656304,E
107,Dependency ratio,4192,2007,41.2780656304,E
108,Dependency ratio,4192,2012,41.2780656304,E
109,Dependency ratio,4192,2017,41.2780656304,E
110,Dependency ratio,4192,2018,41.2780656304,E
111,Total internal renewable water resources (IRWR),4157,1992,34.0,E
112,Total internal renewable water resources (IRWR),4157,1997,34.0,E
113,Total internal renewable water resources (IRWR),4157,2002,34.0,E
114,Total internal renewable water resources (IRWR),4157,2007,34.0,E
115,Total internal renewable water resources (IRWR),4157,2012,34.0,E
116,Total internal renewable water resources (IRWR),4157,2017,34.0,E
117,Total internal renewable water resources (IRWR),4157,2018,34.0,E
118,Total internal renewable water resources per capita,4158,1992,3348.3239767374,E
119,Total internal renewable water resources per capita,4158,1997,3396.8090375901,E
