,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,63766.0,X
1,Total area of the country (excl. coastal water),4100,1967,63766.0,X
2,Total area of the country (excl. coastal water),4100,1972,63766.0,X
3,Total area of the country (excl. coastal water),4100,1977,63766.0,X
4,Total area of the country (excl. coastal water),4100,1982,63766.0,X
5,Total area of the country (excl. coastal water),4100,1987,63766.0,X
6,Total area of the country (excl. coastal water),4100,1992,63766.0,X
7,Total area of the country (excl. coastal water),4100,1997,63766.0,X
8,Total area of the country (excl. coastal water),4100,2002,63766.0,X
9,Total area of the country (excl. coastal water),4100,2007,63766.0,X
10,Total area of the country (excl. coastal water),4100,2012,63766.0,X
11,Total area of the country (excl. coastal water),4100,2017,63766.0,E
12,Total area of the country (excl. coastal water),4100,2018,63766.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,910.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,935.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,960.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,985.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,1010.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,1035.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,1043.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,1066.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,1226.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,1028.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,1025.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,1125.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,1125.0,X
26,Total population,4104,1962,2874.218,X
27,Total population,4104,1967,3227.841,X
28,Total population,4104,1972,3479.79,X
29,Total population,4104,1977,4802.141,X
30,Total population,4104,1982,6608.044,X
31,Total population,4104,1987,6862.273,X
32,Total population,4104,1992,7295.384,X
33,Total population,4104,1997,7936.127,X
34,Total population,4104,2002,9501.342,X
35,Total population,4104,2007,11080.121,X
36,Total population,4104,2012,12715.503,X
37,Total population,4104,2017,14589.179,X
38,Total population,4104,2018,15008.226,X
39,Rural population,4105,1962,2346.156,X
40,Rural population,4105,1967,2549.877,X
41,Rural population,4105,1972,2646.747,X
42,Rural population,4105,1977,3572.278,X
43,Rural population,4105,1982,4884.191,X
44,Rural population,4105,1987,5009.06,X
45,Rural population,4105,1992,5215.131,X
46,Rural population,4105,1997,5521.517,X
47,Rural population,4105,2002,6313.307,X
48,Rural population,4105,2007,7240.839,X
49,Rural population,4105,2012,7459.376,X
50,Rural population,4105,2017,8198.119,X
51,Rural population,4105,2018,8354.51,X
52,Urban population,4106,1962,528.034,X
53,Urban population,4106,1967,678.618,X
54,Urban population,4106,1972,828.275,X
55,Urban population,4106,1977,1255.084,X
56,Urban population,4106,1982,1832.257,X
57,Urban population,4106,1987,2009.049,X
58,Urban population,4106,1992,2273.413,X
59,Urban population,4106,1997,2615.958,X
60,Urban population,4106,2002,3250.86,X
61,Urban population,4106,2007,3797.757,X
62,Urban population,4106,2012,5304.4,X
63,Urban population,4106,2017,6544.404,X
64,Urban population,4106,2018,6827.415,X
65,Gross Domestic Product (GDP),4112,1962,203533071.0,X
66,Gross Domestic Product (GDP),4112,1967,271781889.0,X
67,Gross Domestic Product (GDP),4112,1972,447883941.0,X
68,Gross Domestic Product (GDP),4112,1977,444039612.0,X
69,Gross Domestic Product (GDP),4112,1982,728853377.0,X
70,Gross Domestic Product (GDP),4112,1987,911759885.0,X
71,Gross Domestic Product (GDP),4112,1992,583254545.0,X
72,Gross Domestic Product (GDP),4112,1997,1482006572.0,X
73,Gross Domestic Product (GDP),4112,2002,1219172165.0,X
74,Gross Domestic Product (GDP),4112,2007,2482993197.0,X
75,Gross Domestic Product (GDP),4112,2012,1519541639.0,X
76,Gross Domestic Product (GDP),4112,2015,1454779237.0,X
77,GDP per capita,4458,1972,128.886649,X
78,GDP per capita,4458,1977,91.983906,X
79,GDP per capita,4458,1982,108.517683,X
80,GDP per capita,4458,1987,129.915321,X
81,GDP per capita,4458,1992,77.886241,X
82,GDP per capita,4458,1997,182.121183,X
83,GDP per capita,4458,2002,127.472906,X
84,GDP per capita,4458,2007,224.93741,X
85,GDP per capita,4458,2012,119.051105,X
86,GDP per capita,4458,2017,101.563368,X
87,GDP per capita,4458,2018,98.437155,X
88,"Agriculture, value added (% GDP)",4113,1962,71.68,X
89,"Agriculture, value added (% GDP)",4113,1967,66.29,X
90,"Agriculture, value added (% GDP)",4113,1972,56.502901,X
91,"Agriculture, value added (% GDP)",4113,1977,55.959302,X
92,"Agriculture, value added (% GDP)",4113,1982,63.020851,X
93,"Agriculture, value added (% GDP)",4113,1987,62.484671,X
94,"Agriculture, value added (% GDP)",4113,1992,63.280495,X
95,"Agriculture, value added (% GDP)",4113,1997,62.276597,X
96,"Agriculture, value added (% GDP)",4113,2002,53.272023,X
97,"Agriculture, value added (% GDP)",4113,2007,52.963377,X
98,"Agriculture, value added (% GDP)",4113,2012,52.878938,X
99,"Agriculture, value added (% GDP)",4113,2017,52.879819,X
100,"Agriculture, value added (% GDP)",4113,2018,52.880264,X
101,Total population with access to safe drinking-water (JMP),4114,1997,21.1,X
102,Total population with access to safe drinking-water (JMP),4114,2002,25.3,X
103,Total population with access to safe drinking-water (JMP),4114,2007,30.7,X
104,Total population with access to safe drinking-water (JMP),4114,2012,31.7,I
105,Total population with access to safe drinking-water (JMP),4114,2017,31.7,I
106,Total population with access to safe drinking-water (JMP),4114,2018,31.7,I
107,Long-term average annual precipitation in volume,4150,1962,179.82012,E
108,Long-term average annual precipitation in volume,4150,1967,179.82012,E
109,Long-term average annual precipitation in volume,4150,1972,179.82012,E
110,Long-term average annual precipitation in volume,4150,1977,179.82012,E
111,Long-term average annual precipitation in volume,4150,1982,179.82012,E
112,Long-term average annual precipitation in volume,4150,1987,179.82012,E
113,Long-term average annual precipitation in volume,4150,1992,179.82012,E
114,Long-term average annual precipitation in volume,4150,1997,179.82012,E
115,Long-term average annual precipitation in volume,4150,2002,179.82012,E
116,Long-term average annual precipitation in volume,4150,2007,179.82012,E
117,Long-term average annual precipitation in volume,4150,2012,179.82012,E
118,Long-term average annual precipitation in volume,4150,2017,179.82012,E
119,Long-term average annual precipitation in volume,4150,2018,179.82012,E
120,Interannual variability (WRI),4541,2017,2.9,I
121,Interannual variability (WRI),4541,2018,2.9,I
122,Seasonal variability (WRI),4542,2017,1.7,I
123,Seasonal variability (WRI),4542,2018,1.7,I
124,Flood occurrence (WRI),4543,2017,3.8,I
125,Flood occurrence (WRI),4543,2018,3.8,I
126,Surface water: entering the country (total),4159,1961,8.7,
127,Surface water: entering the country (total),4159,1966,8.7,
128,Surface water: entering the country (total),4159,1971,8.7,
129,Surface water: entering the country (total),4159,1976,8.7,
130,Surface water: entering the country (total),4159,1981,8.7,
131,Surface water: entering the country (total),4159,1986,8.7,
132,Surface water: entering the country (total),4159,1991,8.7,
133,Surface water: entering the country (total),4159,1996,8.7,
134,Surface water: entering the country (total),4159,2001,8.7,
135,Surface water: entering the country (total),4159,2006,8.7,
137,Surface water: entering the country (total),4159,2017,8.7,
138,Surface water: leaving the country to other countries (total),4171,1962,0.0,
139,Surface water: leaving the country to other countries (total),4171,1967,0.0,
140,Surface water: leaving the country to other countries (total),4171,1972,0.0,
141,Surface water: leaving the country to other countries (total),4171,1977,0.0,
142,Surface water: leaving the country to other countries (total),4171,1982,0.0,
143,Surface water: leaving the country to other countries (total),4171,1987,0.0,
144,Surface water: leaving the country to other countries (total),4171,1992,0.0,
145,Surface water: leaving the country to other countries (total),4171,1997,0.0,
146,Surface water: leaving the country to other countries (total),4171,2002,0.0,
147,Surface water: leaving the country to other countries (total),4171,2007,0.0,
148,Surface water: leaving the country to other countries (total),4171,2012,0.0,
149,Surface water: leaving the country to other countries (total),4171,2017,0.0,
150,Groundwater: entering the country (total),4177,1962,0.0,
151,Groundwater: entering the country (total),4177,1967,0.0,
152,Groundwater: entering the country (total),4177,1972,0.0,
153,Groundwater: entering the country (total),4177,1977,0.0,
154,Groundwater: entering the country (total),4177,1982,0.0,
155,Groundwater: entering the country (total),4177,1987,0.0,
156,Groundwater: entering the country (total),4177,1992,0.0,
157,Groundwater: entering the country (total),4177,1997,0.0,
158,Groundwater: entering the country (total),4177,2002,0.0,
159,Groundwater: entering the country (total),4177,2007,0.0,
160,Groundwater: entering the country (total),4177,2012,0.0,
161,Groundwater: entering the country (total),4177,2017,0.0,
