,Variable Name,Variable Id,Year,Value,Symbol
0,Total area of the country (excl. coastal water),4100,1962,109858.0,X
1,Total area of the country (excl. coastal water),4100,1967,109858.0,X
2,Total area of the country (excl. coastal water),4100,1972,109858.0,X
3,Total area of the country (excl. coastal water),4100,1977,109858.0,X
4,Total area of the country (excl. coastal water),4100,1982,109858.0,X
5,Total area of the country (excl. coastal water),4100,1987,109858.0,X
6,Total area of the country (excl. coastal water),4100,1992,109858.0,X
7,Total area of the country (excl. coastal water),4100,1997,109858.0,X
8,Total area of the country (excl. coastal water),4100,2002,109858.0,X
9,Total area of the country (excl. coastal water),4100,2007,109858.0,X
10,Total area of the country (excl. coastal water),4100,2012,109858.0,X
11,Total area of the country (excl. coastal water),4100,2017,109858.0,E
12,Total area of the country (excl. coastal water),4100,2018,109858.0,E
13,Cultivated area (arable land + permanent crops),4103,1962,1442.0,X
14,Cultivated area (arable land + permanent crops),4103,1967,1588.0,X
15,Cultivated area (arable land + permanent crops),4103,1972,1770.0,X
16,Cultivated area (arable land + permanent crops),4103,1977,1953.0,X
17,Cultivated area (arable land + permanent crops),4103,1982,2136.0,X
18,Cultivated area (arable land + permanent crops),4103,1987,2227.0,X
19,Cultivated area (arable land + permanent crops),4103,1992,2331.0,X
20,Cultivated area (arable land + permanent crops),4103,1997,3043.0,X
21,Cultivated area (arable land + permanent crops),4103,2002,3480.0,X
22,Cultivated area (arable land + permanent crops),4103,2007,4390.0,X
23,Cultivated area (arable land + permanent crops),4103,2012,4651.0,X
24,Cultivated area (arable land + permanent crops),4103,2017,4488.0,X
25,Cultivated area (arable land + permanent crops),4103,2018,4727.0,X
26,Total population,4104,1962,3802.99,X
27,Total population,4104,1967,4208.676,X
28,Total population,4104,1972,4682.39,X
29,Total population,4104,1977,5228.252,X
30,Total population,4104,1982,5814.345,X
31,Total population,4104,1987,6442.831,X
32,Total population,4104,1992,7160.92,X
33,Total population,4104,1997,7937.458,X
34,Total population,4104,2002,8742.814,X
35,Total population,4104,2007,9558.439,X
36,Total population,4104,2012,10377.676,X
37,Total population,4104,2017,11192.855,X
38,Total population,4104,2018,11353.142,X
39,Rural population,4105,1962,2404.289,X
40,Rural population,4105,1967,2590.489,X
41,Rural population,4105,1972,2800.578,X
42,Rural population,4105,1977,3012.2,X
43,Rural population,4105,1982,3065.125,X
44,Rural population,4105,1987,3067.566,X
45,Rural population,4105,1992,3028.033,X
46,Rural population,4105,1997,3131.687,X
47,Rural population,4105,2002,3220.542,X
48,Rural population,4105,2007,3296.72,X
49,Rural population,4105,2012,3346.648,X
50,Rural population,4105,2017,3417.155,X
51,Rural population,4105,2018,3429.186,X
52,Urban population,4106,1962,1433.808,X
53,Urban population,4106,1967,1646.636,X
54,Urban population,4106,1972,1897.505,X
55,Urban population,4106,1977,2221.477,X
56,Urban population,4106,1982,2770.057,X
57,Urban population,4106,1987,3397.166,X
58,Urban population,4106,1992,4103.674,X
59,Urban population,4106,1997,4739.168,X
60,Urban population,4106,2002,5432.803,X
61,Urban population,4106,2007,6144.724,X
62,Urban population,4106,2012,6892.356,X
63,Urban population,4106,2017,7634.445,X
64,Urban population,4106,2018,7786.488,X
